student number: ,Age: 18,Gender: 1
Trial No,Trial Type,Top Word,Bottom Word,Response,RT,Correct,Dot(1: . 2: ..),Arrow Pos(1:T 2:B),
1,Practice,input,localized,1,524,1,1,2
2,Practice,numerical,limestone,1,2600,0,2,1
3,Practice,infuser,multitude,1,543,0,2,2
4,Practice,subsequent,rectangular,1,443,1,1,2
5,Practice,ten,marksman,1,570,0,2,1
6,Practice,banner,aluminium,1,508,1,1,1
7,Practice,seat,scoop,1,473,0,2,1
8,Practice,diagonal,logistics,1,439,0,2,1
9,Practice,logistics,diagonal,1,495,1,1,2
10,Practice,rectangular,subsequent,1,492,0,2,1
11,Practice,localized,input,1,553,0,2,2
12,Practice,keyboard,checkers,1,556,1,1,2
13,Practice,limestone,numerical,1,135,1,1,1
14,Practice,edition,contrast,1,171,0,2,2
15,Practice,contrast,edition,1,101,1,1,1
16,Practice,informal,matchbook,1,146,0,2,1
17,Practice,flatten,linear,1,86,0,2,1
18,Practice,linear,flatten,1,100,1,1,2
19,Practice,matchbook,informal,1,161,1,1,1
20,Practice,washer,collar,1,164,1,1,2
21,Practice,geometric,indicate,1,135,0,2,2
22,Practice,midst,adobe,1,155,1,1,1
23,Practice,collar,washer,1,206,1,1,1
24,Practice,checkers,keyboard,1,247,0,2,2
25,Practice,scoop,seat,1,63,0,2,1
26,Practice,aluminium,banner,1,238,1,1,1
27,Practice,multitude,infuser,1,22,0,2,2
28,Practice,adobe,midst,1,246,1,1,2
29,Practice,indicate,geometric,1,78,1,1,2
30,Practice,marksman,ten,1,52,0,2,2
